search_time	search_id	listing_type	property_type	search_location	search_price_min	search_price_max	platform	user_id
2018-07-01 10:27:20	619	rent	condo	dtdistrict19	2000	3000	web	u716
2018-07-01 10:27:40	620	rent	condo	dtdistrict09	3500		web	u1639
2018-07-01 10:27:42	621	rent	condo	dtdistrict09	3500	4000	web	u1639
2018-07-01 10:27:50	622	rent	condo	dtdistrict09	3500	4000	web	u1639
2018-07-01 10:28:09	623	rent	condo	dtdistrict09	3500	4000	web	u1639
2018-07-01 10:29:14	624	room		dtdistrict03		1000	web	u1860
2018-07-01 10:29:17	625	room		dtdistrict03	500	1000	web	u1860
2018-07-01 10:29:41	626	room		dtdistrict03	500	1000	web	u1860
2018-07-01 10:29:51	627	room		dtdistrict03	500	1000	web	u1860
2018-07-01 10:29:58	628	rent	condo	dtdistrict19	2000	3000	web	u716
2018-07-01 10:30:55	629	rent	condo	dtdistrict19	2000	3000	web	u716
2018-07-01 10:31:29	630	room		dtdistrict03	500	1000	web	u1860
2018-07-01 10:32:44	631	room		dtdistrict03	500	1000	web	u1860
2018-07-01 10:33:12	632	rent		dtdistrict03		1500	web	u1860
2018-07-01 10:35:33	633	rent		dtdistrict03		1500	web	u1860
2018-07-01 10:37:12	634	rent		dtdistrict03		1500	web	u1860
2018-07-01 10:38:43	635	rent		dtdistrict03		1500	web	u1860
2018-07-01 10:43:33	636	rent		dtdistrict01,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15	1500	2500	web	u164
2018-07-01 10:47:48	637	sale		dtdistrict05	1000000		web	u1814
2018-07-01 10:47:54	638	sale		dtdistrict05	800000		web	u1814
2018-07-01 10:47:57	639	sale		dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:48:01	640	sale	hdb	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:48:07	641	sale	condo,hdb	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:48:13	642	sale	condo,hdb	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:48:19	643	sale	condo,hdb	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:48:21	644	sale	condo	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:48:42	645	sale	condo	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:52:05	646	sale	condo	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:52:07	647	sale	condo	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:53:30	648	sale	condo	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:55:08	649	sale	condo	dtdistrict05	800000	1000000	web	u1814
2018-07-01 10:59:40	650	sale		dtdistrict16		400000	web	u320
